transaction_id,customer_id,amount,transaction_date
T00119,14,14369,2023-03-30
T00120,257,2133,2023-05-22
T00121,1370,13461,2023-07-26
T00122,1722,9727,2023-03-15
T00123,1369,13547,2023-11-13
T00124,1424,3060,2023-11-08
T00125,1231,83657,2023-12-15
T00126,858,11809,2023-12-22
T00127,943,72296,2023-07-25
T00128,1196,10007,2023-01-20
T00129,464,3705,2023-07-22
T00130,270,5342,2023-06-19
T00131,1245,9645,2023-12-20
T00132,1176,10938,2023-05-02
T00133,623,7932,2023-01-26
T00134,1207,37760,2023-09-01
T00135,1423,9835,2023-05-18
T00136,1875,13374,2023-07-10
T00137,72,12959,2023-01-11
T00138,1442,12302,2023-06-22
T00139,1922,4295,2023-06-05
T00140,1307,12680,2023-06-09
T00141,74,6107,2023-05-24
T00142,355,154593,2023-09-09
T00143,1751,226078,2023-12-23
T00144,497,95180,2023-12-17
T00145,1352,7118,2023-02-20
T00146,988,8177,2023-04-27
T00147,1559,77839,2023-03-10
T00148,580,8397,2023-06-03
T00149,910,25860,2023-08-15
T00150,1471,5061,2023-06-14
T00151,373,39451,2023-05-18
T00152,362,2049,2023-08-02
T00153,93,6539,2023-11-06
T00154,1345,1344,2023-11-27
T00155,324,10638,2023-02-15
T00156,384,10075,2023-04-07
T00157,575,1042,2023-08-15
T00158,736,204256,2023-04-19
T00159,737,4608,2023-07-28
T00160,1905,1117,2023-09-06
T00161,346,2163,2023-09-22
T00162,1873,12597,2023-07-11
T00163,1127,11339,2023-01-29
T00164,1239,65433,2023-09-21
T00165,1216,4750,2023-03-23
T00166,1696,2104,2023-02-03
T00167,1908,1514,2023-06-09
T00168,719,6413,2023-12-30
T00169,781,2160,2023-09-17
T00170,1020,9423,2023-07-26
T00171,1218,4899,2023-03-11
T00172,1404,5562,2023-09-26
T00173,1427,11960,2023-10-19
T00174,664,8953,2023-01-15
T00175,1773,4510,2023-03-30
T00176,600,9834,2023-04-09
T00177,11,3167,2023-04-13
T00178,187,12851,2023-01-30
T00179,726,295239,2023-05-08
T00180,1039,10355,2023-01-17
T00181,778,5220,2023-08-22
T00182,1321,8744,2023-01-26
T00183,411,4981,2023-07-04
T00184,956,13855,2023-12-27
T00185,585,8749,2023-04-12
T00186,1076,14230,2023-05-21
T00187,1664,7669,2023-07-08
T00188,1052,4119,2023-08-26
T00189,577,22363,2023-09-16
T00190,1041,2588,2023-07-23
T00191,1375,11796,2023-11-22
T00192,1452,8062,2023-03-05
T00193,1674,6804,2023-12-15
T00194,1855,1834,2023-01-16
T00195,1253,7735,2023-05-04
T00196,1790,8651,2023-07-10
T00197,989,7576,2023-09-08
T00198,1234,12945,2023-11-01
T00199,1455,1887,2023-08-17
T00200,1318,12032,2023-04-01
T00201,743,2776,2023-08-31
T00202,1777,11587,2023-10-28
T00203,1606,2612,2023-10-10
T00204,1128,17944,2023-06-29
T00205,204,7596,2023-06-26
T00206,1077,12931,2023-03-25
T00207,974,6559,2023-05-13
T00208,940,14116,2023-12-19
T00209,1399,2790,2023-02-16
T00210,1866,5073,2023-05-26
T00211,1078,4139,2023-01-15
T00212,1300,4116,2023-07-17
T00213,1359,80292,2023-01-26
T00214,1055,8350,2023-03-25
T00215,1159,1648,2023-10-20
T00216,1082,1828,2023-04-20
T00217,105,4006,2023-04-24
T00218,1290,46509,2023-11-28
T00219,1546,8579,2023-04-26
T00220,1520,5092,2023-12-13
T00221,253,2235,2023-04-16
T00222,295,8260,2023-05-18
T00223,668,261818,2023-11-30
T00224,1182,10016,2023-07-29
T00225,549,2604,2023-09-20
T00226,631,307,2023-01-11
T00227,1091,95477,2023-12-16
T00228,1778,9856,2023-01-05
T00229,299,14697,2023-08-31
T00230,1487,620,2023-03-09
T00231,1749,22224,2023-11-28
T00232,1844,13346,2023-03-30
T00233,101,1068,2023-11-04
T00234,1080,781,2023-01-05
T00235,332,7658,2023-04-25
T00236,836,8956,2023-05-10
T00237,1775,8886,2023-11-08
T00238,393,38016,2023-06-06
T00239,1767,7570,2023-12-31
T00240,874,1960,2023-12-30
T00241,381,3697,2023-11-26
T00242,92,7209,2023-05-21
T00243,1815,1035,2023-08-05
T00244,447,7396,2023-07-12
T00245,109,5345,2023-06-28
T00246,317,13846,2023-08-24
T00247,1192,69638,2023-05-10
T00248,1836,5673,2023-04-22
T00249,1944,7930,2023-08-27
T00250,1459,232607,2023-06-04
T00251,442,6484,2023-12-13
T00252,218,13834,2023-09-24
T00253,1246,10105,2023-11-16
T00254,673,11844,2023-07-23
T00255,1552,12770,2023-10-27
T00256,278,73788,2023-02-22
T00257,1009,3536,2023-01-04
T00258,569,2055,2023-09-19
T00259,1598,5861,2023-12-06
T00260,1010,4566,2023-07-11
T00261,875,1958,2023-10-15
T00262,466,10489,2023-11-28
T00263,839,13054,2023-11-01
T00264,754,9883,2023-11-08
T00265,1626,17989,2023-05-25
T00266,1608,13254,2023-06-02
T00267,838,6138,2023-12-17
T00268,30,1936,2023-02-25
T00269,359,1821,2023-09-04
T00270,1943,86569,2023-02-02
T00271,1312,8811,2023-06-22
T00272,86,181819,2023-05-22
T00273,1258,79615,2023-11-24
T00274,747,30635,2023-06-16
T00275,313,1931,2023-05-22
T00276,365,183124,2023-05-14
T00277,1801,428,2023-12-02
T00278,1823,14948,2023-12-31
T00279,1863,34356,2023-11-30
T00280,905,2122,2023-06-02
T00281,1293,10749,2023-04-07
T00282,698,2113,2023-03-18
T00283,131,12062,2023-09-22
T00284,803,4853,2023-05-04
T00285,789,7615,2023-01-30
T00286,1856,2964,2023-11-04
T00287,351,10333,2023-07-26
T00288,180,5033,2023-12-05
T00289,1826,10485,2023-06-13
T00290,1504,10740,2023-12-15
T00291,1913,1651,2023-03-13
T00292,1187,11147,2023-01-14
T00293,1807,2343,2023-12-02
T00294,1912,1817,2023-09-12
T00295,1120,11770,2023-06-01
T00296,774,10562,2023-05-13
T00297,510,10260,2023-08-03
T00298,365,187044,2023-07-27
T00299,981,6183,2023-07-18
T00300,353,1168,2023-01-19
T00301,800,103545,2023-10-26
T00302,1460,11972,2023-12-29
T00303,1107,237745,2023-10-20
T00304,1249,6147,2023-04-08
T00305,412,4910,2023-06-25
T00306,735,5351,2023-04-24
T00307,981,7484,2023-12-18
T00308,118,84308,2023-10-01
T00309,482,12004,2023-11-23
T00310,192,11575,2023-09-01
T00311,591,5915,2023-12-10
T00312,590,69929,2023-07-03
T00313,659,6180,2023-09-17
T00314,107,13318,2023-06-03
T00315,382,2188,2023-03-29
T00316,783,1152,2023-12-03
T00317,390,8508,2023-10-13
T00318,244,11177,2023-04-03
T00319,585,10224,2023-05-31
T00320,869,2638,2023-02-19
T00321,468,69204,2023-08-30
T00322,866,4904,2023-03-07
T00323,934,4492,2023-05-13
T00324,1562,182614,2023-10-14
T00325,1234,5345,2023-04-04
T00326,604,3170,2023-12-15
T00327,1661,6718,2023-06-21
T00328,1015,2127,2023-12-02
T00329,1971,5002,2023-02-15
T00330,1097,7054,2023-04-24
T00331,1659,47353,2023-07-01
T00332,1333,3584,2023-04-25
T00333,1720,8179,2023-06-07
T00334,1723,268561,2023-08-04
T00335,1734,9900,2023-06-19
T00336,1614,12526,2023-07-10
T00337,860,5956,2023-05-14
T00338,1210,11021,2023-10-27
T00339,1880,14223,2023-05-31
T00340,1277,11714,2023-08-26
T00341,13,9666,2023-03-02
T00342,299,1128,2023-08-29
T00343,1100,225076,2023-01-28
T00344,1075,14387,2023-11-21
T00345,787,10086,2023-10-26
T00346,149,5905,2023-10-25
T00347,1755,11868,2023-11-14
T00348,122,2697,2023-02-06
T00349,1235,3200,2023-08-30
T00350,1304,5333,2023-04-10
T00351,538,2891,2023-09-14
T00352,1709,2753,2023-03-03
T00353,1180,13163,2023-12-15
T00354,1262,10064,2023-07-15
T00355,376,3546,2023-09-29
T00356,82,5462,2023-06-02
T00357,492,5616,2023-07-31
T00358,356,10909,2023-01-28
T00359,925,4450,2023-03-19
T00360,1297,238117,2023-03-12
T00361,1604,6617,2023-04-13
T00362,1068,4335,2023-06-25
T00363,1005,12263,2023-07-29
T00364,1597,11391,2023-10-19
T00365,123,14974,2023-08-23
T00366,1373,5325,2023-03-15
T00367,708,9280,2023-06-11
T00368,330,9004,2023-04-03
T00369,1433,5114,2023-02-11
T00370,991,14862,2023-09-07
T00371,323,308,2023-06-20
T00372,1135,2512,2023-11-20
T00373,770,2698,2023-04-01
T00374,1113,7939,2023-06-10
T00375,433,14588,2023-11-21
T00376,710,5533,2023-01-30
T00377,794,1722,2023-01-03
T00378,712,1058,2023-08-20
T00379,1123,53719,2023-05-21
T00380,539,13634,2023-04-18
T00381,601,3143,2023-03-28
T00382,1170,11438,2023-10-23
T00383,1718,5291,2023-03-23
T00384,257,3647,2023-09-08
T00385,1213,67912,2023-02-15
T00386,1264,2359,2023-03-08
T00387,871,12561,2023-11-11
T00388,899,8007,2023-08-11
T00389,1527,10189,2023-11-21
T00390,1732,1158,2023-08-08
T00391,809,2832,2023-07-26
T00392,677,2232,2023-08-08
T00393,1843,12321,2023-09-02
T00394,271,3442,2023-07-16
T00395,1544,193023,2023-01-03
T00396,550,1590,2023-01-20
T00397,1138,7337,2023-10-01
T00398,1363,7049,2023-04-13
T00399,568,10543,2023-07-11
T00400,1967,10052,2023-01-08
T00401,986,3426,2023-06-14
T00402,359,8041,2023-09-29
T00403,1674,3088,2023-04-08
T00404,1638,1685,2023-01-10
T00405,1358,6050,2023-12-13
T00406,1713,6974,2023-01-03
T00407,1193,285662,2023-11-17
T00408,1363,14043,2023-05-08
T00409,798,1653,2023-04-26
T00410,1285,285647,2023-12-22
T00411,887,143797,2023-06-26
T00412,1759,4441,2023-06-09
T00413,1223,12174,2023-03-08
T00414,211,5088,2023-02-22
T00415,287,11927,2023-07-16
T00416,1716,2684,2023-09-15
T00417,1786,6794,2023-10-29
T00418,743,2393,2023-06-06
T00419,1496,7658,2023-03-27
T00420,1506,11168,2023-02-03
T00421,1047,13279,2023-01-24
T00422,1584,30257,2023-06-02
T00423,1133,4878,2023-05-29
T00424,296,7582,2023-08-22
T00425,6,765,2023-09-24
T00426,550,14105,2023-11-02
T00427,681,14283,2023-09-26
T00428,1892,33206,2023-06-22
T00429,795,7755,2023-08-11
T00430,203,201,2023-12-18
T00431,325,97018,2023-03-10
T00432,825,13067,2023-06-25
T00433,1809,6442,2023-09-08
T00434,244,13818,2023-07-03
T00435,327,7745,2023-04-07
T00436,987,7071,2023-03-26
T00437,1071,11975,2023-07-26
T00438,761,1116,2023-01-10
T00439,1615,5371,2023-04-27
T00440,1646,3608,2023-04-25
T00441,1037,13900,2023-03-09
T00442,907,12489,2023-04-19
T00443,1404,2771,2023-01-12
T00444,365,150281,2023-10-29
T00445,1626,15075,2023-09-16
T00446,1366,8711,2023-03-28
T00447,1884,4644,2023-03-05
T00448,1816,2134,2023-07-07
T00449,1245,14378,2023-12-31
T00450,73,4270,2023-11-30
T00451,1770,55830,2023-01-20
T00452,1796,6000,2023-07-12
T00453,1649,1032,2023-11-24
T00454,1070,4652,2023-05-11
T00455,1528,1387,2023-10-01
T00456,274,11813,2023-11-16
T00457,1579,4164,2023-01-25
T00458,208,7528,2023-11-01
T00459,1953,3189,2023-01-25
T00460,1885,5564,2023-12-05
T00461,1639,19099,2023-02-25
T00462,124,13670,2023-12-01
T00463,1034,5573,2023-01-11
T00464,1353,6753,2023-01-25
T00465,1211,11510,2023-12-20
T00466,543,9346,2023-03-01
T00467,1692,7548,2023-08-02
T00468,60,12133,2023-08-16
T00469,1785,14822,2023-07-14
T00470,899,9785,2023-03-05
T00471,886,6425,2023-10-08
T00472,1975,1452,2023-05-10
T00473,782,2889,2023-08-31
T00474,442,7684,2023-12-26
T00475,1241,5279,2023-03-20
T00476,911,3925,2023-04-16
T00477,1026,10512,2023-12-22
T00478,1560,5349,2023-12-18
T00479,1742,1626,2023-11-19
T00480,832,24208,2023-01-05
T00481,1008,10774,2023-06-04
T00482,1735,8119,2023-08-04
T00483,1380,6663,2023-12-05
T00484,626,51114,2023-02-21
T00485,1816,4074,2023-12-06
T00486,1691,10932,2023-09-24
T00487,1189,9379,2023-05-19
T00488,998,2894,2023-11-15
T00489,734,7311,2023-11-07
T00490,91,10446,2023-12-25
T00491,167,4114,2023-03-12
T00492,959,116773,2023-08-03
T00493,207,1727,2023-02-23
T00494,1306,12612,2023-09-19
T00495,1089,8144,2023-11-13
T00496,1912,106,2023-03-02
T00497,516,9518,2023-05-25
T00498,1181,2305,2023-02-28
T00499,1785,12253,2023-02-24
T00500,1793,12787,2023-09-12
T00501,747,97900,2023-04-12
T00502,306,4228,2023-11-08
T00503,1902,57739,2023-04-13
T00504,395,8066,2023-05-15
T00505,1098,2146,2023-09-25
T00506,187,11882,2023-04-14
T00507,1598,6409,2023-07-03
T00508,1361,2652,2023-12-27
T00509,1700,6143,2023-07-29
T00510,1592,11868,2023-06-01
T00511,623,14893,2023-03-24
T00512,730,3041,2023-01-21
T00513,240,12792,2023-10-08
T00514,533,5920,2023-09-12
T00515,141,9308,2023-04-17
T00516,1289,131077,2023-12-19
T00517,139,11926,2023-09-04
T00518,459,7691,2023-06-19
T00519,70,6344,2023-05-01
T00520,385,7592,2023-01-02
T00521,630,232769,2023-01-07
T00522,198,5844,2023-12-10
T00523,205,10083,2023-02-15
T00524,1750,3085,2023-02-26
T00525,568,4143,2023-10-21
T00526,1823,7888,2023-12-09
T00527,982,224307,2023-09-10
T00528,805,7211,2023-03-18
T00529,1711,98777,2023-02-16
T00530,859,13257,2023-09-19
T00531,882,32810,2023-02-08
T00532,974,11084,2023-02-21
T00533,640,199187,2023-05-12
T00534,1455,5930,2023-11-26
T00535,1914,7653,2023-04-29
T00536,325,193638,2023-08-22
T00537,442,7329,2023-06-01
T00538,804,1006,2023-05-16
T00539,288,5978,2023-08-26
T00540,226,5700,2023-01-26
T00541,1088,4443,2023-02-21
T00542,967,1860,2023-03-31
T00543,938,13873,2023-01-21
T00544,560,86019,2023-05-29
T00545,714,10939,2023-07-04
T00546,498,11726,2023-12-13
T00547,849,6279,2023-06-10
T00548,926,8618,2023-08-07
T00549,1941,67905,2023-03-01
T00550,60,8244,2023-02-18
T00551,1421,98555,2023-01-24
T00552,257,4501,2023-01-05
T00553,577,77000,2023-03-12
T00554,239,4376,2023-12-06
T00555,1825,258072,2023-11-28
T00556,38,14042,2023-03-29
T00557,25,242927,2023-06-18
T00558,410,3780,2023-07-03
T00559,461,11794,2023-08-13
T00560,1595,447,2023-11-15
T00561,988,5649,2023-05-18
T00562,1441,9445,2023-02-17
T00563,357,97012,2023-07-10
T00564,383,11370,2023-06-25
T00565,1833,11145,2023-04-04
T00566,1182,6491,2023-02-28
T00567,569,1265,2023-07-25
T00568,1457,14409,2023-07-24
T00569,1072,13306,2023-08-22
T00570,1352,4848,2023-05-20
T00571,433,12023,2023-07-17
T00572,1455,6085,2023-12-20
T00573,56,4680,2023-09-02
T00574,577,36100,2023-08-04
T00575,268,3414,2023-11-29
T00576,69,700,2023-03-27
T00577,1752,1757,2023-02-27
T00578,902,5011,2023-03-09
T00579,1625,8784,2023-12-23
T00580,1473,11015,2023-01-31
T00581,793,14922,2023-03-23
T00582,257,13590,2023-02-23
T00583,672,2193,2023-08-02
T00584,490,8461,2023-10-30
T00585,746,7790,2023-09-05
T00586,1667,11318,2023-10-19
T00587,49,10431,2023-12-14
T00588,1683,4185,2023-08-13
T00589,316,12769,2023-04-03
T00590,413,2952,2023-11-09
T00591,434,7291,2023-07-14
T00592,1026,9099,2023-07-03
T00593,1865,7547,2023-11-10
T00594,1976,4997,2023-01-15
T00595,1169,29342,2023-12-17
T00596,1980,11748,2023-03-08
T00597,1390,12266,2023-09-05
T00598,420,1090,2023-09-07
T00599,1597,13303,2023-02-27
T00600,1809,13616,2023-07-30
T00601,1585,2746,2023-08-14
T00602,844,13753,2023-01-24
T00603,1468,7965,2023-02-02
T00604,916,4585,2023-05-14
T00605,434,3881,2023-12-02
T00606,643,7087,2023-06-10
T00607,1579,12401,2023-01-07
T00608,57,9486,2023-12-27
T00609,1586,8611,2023-12-14
T00610,964,305,2023-09-26
T00611,977,196120,2023-10-23
T00612,1202,5082,2023-10-17
T00613,1317,25906,2023-04-25
T00614,46,1969,2023-12-09
T00615,1194,3184,2023-06-23
T00616,1295,14130,2023-09-23
T00617,417,8612,2023-09-25
T00618,848,11937,2023-12-19
T00619,139,9702,2023-12-25
T00620,247,10157,2023-11-13
T00621,1172,10755,2023-02-18
T00622,230,6198,2023-08-10
T00623,792,68008,2023-12-05
T00624,637,210603,2023-05-08
T00625,1728,2167,2023-09-04
T00626,374,7991,2023-06-27
T00627,1104,14608,2023-12-06
T00628,1630,9976,2023-12-13
T00629,738,8305,2023-11-25
T00630,1089,3607,2023-07-17
T00631,88,13184,2023-03-18
T00632,1112,8777,2023-10-13
T00633,713,167983,2023-11-10
T00634,1750,5246,2023-01-28
T00635,1228,42406,2023-01-06
T00636,1937,14760,2023-11-26
T00637,1406,11447,2023-03-22
T00638,601,5543,2023-09-16
T00639,1500,13547,2023-08-29
T00640,1597,13741,2023-09-11
T00641,1807,9540,2023-03-26
T00642,1630,8939,2023-02-08
T00643,1843,11268,2023-09-09
T00644,539,4919,2023-06-14
T00645,214,5499,2023-05-04
T00646,74,8206,2023-06-19
T00647,61,20155,2023-05-23
T00648,698,12690,2023-01-26
T00649,1567,5681,2023-09-17
T00650,1243,4841,2023-04-25
T00651,12,5451,2023-10-09
T00652,814,6502,2023-11-26
T00653,1439,6238,2023-07-13
T00654,32,9849,2023-07-26
T00655,1184,2320,2023-05-01
T00656,1001,3267,2023-02-10
T00657,237,3471,2023-08-24
T00658,1763,4788,2023-08-16
T00659,1205,7275,2023-10-21
T00660,1853,12369,2023-08-18
T00661,558,30028,2023-02-15
T00662,1365,12573,2023-09-13
T00663,1482,4505,2023-08-17
T00664,1104,2052,2023-06-11
T00665,647,7797,2023-03-02
T00666,1796,7678,2023-09-12
T00667,987,3210,2023-12-01
T00668,820,9890,2023-01-10
T00669,1783,8633,2023-02-22
T00670,473,158992,2023-07-26
T00671,1695,2020,2023-07-31
T00672,1739,4388,2023-01-19
T00673,112,14646,2023-10-13
T00674,1316,7883,2023-10-09
T00675,1974,7381,2023-01-01
T00676,1846,13612,2023-02-16
T00677,1655,86556,2023-11-06
T00678,383,12395,2023-11-13
T00679,17,180,2023-11-23
T00680,493,13543,2023-06-05
T00681,1355,10432,2023-09-18
T00682,926,7232,2023-10-15
T00683,1763,8814,2023-04-16
T00684,1897,1096,2023-12-02
T00685,1510,6763,2023-12-10
T00686,1430,5892,2023-08-22
T00687,117,13344,2023-06-24
T00688,1579,7389,2023-07-06
T00689,880,14982,2023-01-28
T00690,115,14692,2023-04-25
T00691,1819,7865,2023-08-21
T00692,1573,9818,2023-06-19
T00693,814,13247,2023-10-14
T00694,1649,2336,2023-11-14
T00695,1571,89069,2023-11-04
T00696,644,4613,2023-08-31
T00697,1360,2099,2023-12-03
T00698,336,4595,2023-07-06
T00699,922,121548,2023-08-20
T00700,1913,8140,2023-02-28
T00701,1764,8956,2023-02-19
T00702,147,1475,2023-12-04
T00703,122,7371,2023-04-24
T00704,81,6507,2023-01-02
T00705,685,11958,2023-06-24
T00706,1690,12127,2023-07-01
T00707,662,14076,2023-11-21
T00708,375,7624,2023-05-30
T00709,1594,12864,2023-10-08
T00710,63,3704,2023-09-25
T00711,504,14770,2023-07-11
T00712,668,172523,2023-12-26
T00713,449,3091,2023-02-24
T00714,1452,11195,2023-01-24
T00715,868,9751,2023-03-26
T00716,1451,57069,2023-09-10
T00717,1445,7929,2023-03-13
T00718,1346,7455,2023-07-29
T00719,1937,10697,2023-02-24
T00720,680,10246,2023-05-11
T00721,1190,11862,2023-11-09
T00722,1621,211,2023-04-11
T00723,1981,2375,2023-04-07
T00724,1673,11530,2023-03-03
T00725,461,8022,2023-07-21
T00726,459,3223,2023-04-21
T00727,1213,70515,2023-08-23
T00728,464,3977,2023-04-08
T00729,912,1823,2023-06-23
T00730,379,5262,2023-02-25
T00731,1026,7211,2023-08-01
T00732,1642,6363,2023-01-24
T00733,364,4467,2023-11-21
T00734,72,8449,2023-12-11
T00735,1451,135680,2023-10-29
T00736,638,6529,2023-03-05
T00737,1194,13471,2023-08-19
T00738,1229,7211,2023-08-23
T00739,1849,1239,2023-12-04
T00740,337,13320,2023-10-29
T00741,1496,14630,2023-09-16
T00742,195,7906,2023-03-10
T00743,1694,5133,2023-09-13
T00744,1012,268866,2023-01-03
T00745,653,2341,2023-09-29
T00746,1299,173288,2023-01-25
T00747,7,1317,2023-10-11
T00748,905,13272,2023-08-10
T00749,979,80702,2023-10-27
T00750,566,1853,2023-09-05
T00751,616,6733,2023-09-18
T00752,1878,4673,2023-04-01
T00753,1874,220431,2023-12-21
T00754,573,18993,2023-10-24
T00755,599,13799,2023-03-30
T00756,770,2769,2023-03-07
T00757,1202,1659,2023-02-23
T00758,242,6678,2023-07-18
T00759,1227,14067,2023-12-03
T00760,1567,5051,2023-11-04
T00761,1825,102261,2023-11-07
T00762,1486,14749,2023-06-14
T00763,1104,1333,2023-09-16
T00764,1547,212879,2023-07-16
T00765,1441,3496,2023-08-03
T00766,766,4908,2023-11-08
T00767,384,3068,2023-12-21
T00768,391,72070,2023-05-08
T00769,896,97747,2023-05-21
T00770,1823,2874,2023-07-23
T00771,688,10240,2023-06-25
T00772,1150,4571,2023-05-31
T00773,1518,8619,2023-08-20
T00774,47,12460,2023-03-10
T00775,1742,5198,2023-03-12
T00776,1500,13564,2023-07-31
T00777,1973,7043,2023-11-05
T00778,619,3749,2023-12-25
T00779,464,10926,2023-09-20
T00780,1811,10949,2023-06-03
T00781,1873,13254,2023-12-26
T00782,123,12769,2023-10-08
T00783,1498,2876,2023-06-10
T00784,134,13743,2023-12-31
T00785,1643,14423,2023-10-11
T00786,1841,3683,2023-11-20
T00787,841,6096,2023-04-22
T00788,1586,2771,2023-04-13
T00789,849,10481,2023-04-18
T00790,607,1420,2023-11-16
T00791,1804,6111,2023-05-29
T00792,23,10433,2023-12-18
T00793,566,12097,2023-06-26
T00794,1910,7149,2023-12-11
T00795,766,7498,2023-03-09
T00796,965,912,2023-12-30
T00797,235,2245,2023-11-29
T00798,996,10700,2023-04-02
T00799,1083,12315,2023-09-15
T00800,1188,7304,2023-10-05
T00801,1795,11276,2023-12-22
T00802,826,4978,2023-11-23
T00803,216,2669,2023-06-15
T00804,1207,49529,2023-12-30
T00805,1593,14931,2023-03-01
T00806,657,12210,2023-06-30
T00807,935,10837,2023-10-15
T00808,1114,14197,2023-09-03
T00809,1988,2983,2023-10-26
T00810,311,14045,2023-10-20
T00811,557,10272,2023-12-08
T00812,972,268,2023-12-30
T00813,257,6688,2023-08-02
T00814,533,9728,2023-12-12
T00815,1557,4009,2023-10-01
T00816,52,11838,2023-05-27
T00817,1362,7071,2023-08-05
T00818,1195,2129,2023-01-07
T00819,1972,9289,2023-09-25
T00820,1091,94874,2023-02-24
T00821,1649,1497,2023-01-13
T00822,300,1207,2023-07-15
T00823,672,14919,2023-03-16
T00824,778,3941,2023-01-28
T00825,832,74251,2023-12-10
T00826,232,2729,2023-01-29
T00827,975,8102,2023-04-13
T00828,1861,6934,2023-05-17
T00829,1092,11413,2023-03-24
T00830,1530,7803,2023-05-27
T00831,28,14577,2023-12-16
T00832,1973,8532,2023-05-09
T00833,1652,2997,2023-03-16
T00834,1075,3506,2023-02-01
T00835,1717,8135,2023-12-20
T00836,1284,3885,2023-06-01
T00837,591,13022,2023-04-15
T00838,785,9548,2023-10-05
T00839,620,11657,2023-01-17
T00840,1987,45400,2023-07-03
T00841,586,11091,2023-08-20
T00842,1711,80539,2023-02-22
T00843,1002,13691,2023-11-12
T00844,184,8921,2023-12-12
T00845,1047,8616,2023-10-15
T00846,1810,1884,2023-04-25
